"","quad","year","OBJECTID","species","seedling","stem","x","y","age","survives","dormancy","trackID"
"120","Q1",36,62,"Crepis acuminata","Y","N",0.484066035141411,0.864131152682874,1,0,0,1
"134","Q1",36,76,"Crepis acuminata","Y","N",0.565504410217256,0.27028488650481,1,0,0,2
"446","Q1",46,51,"Crepis acuminata","Y","N",0.506115753911947,0.799628488560301,1,0,0,3
"494","Q1",49,89,"Crepis acuminata","N","N",0.259547983161503,0.045296822622823,1,1,0,4
"515","Q1",50,47,"Crepis acuminata","N","N",0.271849597443768,0.047711925360024,2,1,0,4
"533","Q1",51,64,"Crepis acuminata","Y","N",0.520998488300806,0.791053832302315,1,1,0,5
"535","Q1",51,66,"Crepis acuminata","N","N",0.019803737834033,0.296581714654303,1,1,0,6
"537","Q1",51,68,"Crepis acuminata","N","N",0.259062573994359,0.034760315972962,3,1,0,4
"556","Q1",52,79,"Crepis acuminata","N","N",0.520334519550189,0.783354871357644,2,1,0,5
"574","Q1",52,97,"Crepis acuminata","N","N",0.024631415585488,0.310948242283968,2,0,0,6
"575","Q1",52,98,"Crepis acuminata","N","N",0.270028610168769,0.059208196151369,4,1,0,4
"585","Q1",54,62,"Crepis acuminata","N","N",0.531606691435687,0.793465660429562,4,1,1,5
"588","Q1",54,65,"Crepis acuminata","N","N",0.256216394304208,0.036838815974898,6,0,1,4
"600","Q1",55,61,"Crepis acuminata","N","N",0.527164238306548,0.78627995729787,5,1,0,5
"619","Q1",56,47,"Crepis acuminata","N","N",0.533025699249507,0.801755316687282,6,0,0,5
"16653","Q10",30,15,"Crepis acuminata","N","N",0.441432753851704,0.645172738416453,1,1,0,1
"16666","Q10",30,28,"Crepis acuminata","N","N",0.527942636744773,0.625160144647814,1,1,0,2
"16685","Q10",30,47,"Crepis acuminata","N","N",0.63724575403407,0.284624316205666,1,1,0,3
"16687","Q10",30,49,"Crepis acuminata","N","N",0.98232574654295,0.207547027071382,1,1,0,4
"16701","Q10",30,63,"Crepis acuminata","N","N",0.088744550398238,0.443042363228204,1,1,0,5
"16705","Q10",31,2,"Crepis acuminata","N","N",0.294679128715029,0.973693941847412,1,1,0,6
"16715","Q10",31,12,"Crepis acuminata","N","N",0.610024027446218,0.804302402627154,1,1,0,7
"16725","Q10",31,22,"Crepis acuminata","N","N",0.510493925791024,0.628725824338635,2,1,0,2
"16729","Q10",31,26,"Crepis acuminata","N","N",0.661757285306899,0.243910894292749,2,1,0,3
"16730","Q10",31,27,"Crepis acuminata","N","N",0.987796152798045,0.194642800496864,2,1,0,4
"16731","Q10",31,28,"Crepis acuminata","N","N",0.926935566803865,0.20671831613311,1,1,0,8
"16736","Q10",31,33,"Crepis acuminata","N","N",0.016876355018806,0.325823980306535,1,1,0,9
"16742","Q10",31,39,"Crepis acuminata","N","N",0.094420011341025,0.450694058547831,2,1,0,5
"16744","Q10",31,41,"Crepis acuminata","N","N",0.176844003605287,0.407254386632373,1,1,0,10
"16752","Q10",32,3,"Crepis acuminata","N","N",0.291920667774961,0.985242066858167,2,0,0,6
"16759","Q10",32,10,"Crepis acuminata","N","N",0.19981411300168,0.421548574145686,2,0,0,10
"16760","Q10",32,11,"Crepis acuminata","N","N",0.015783964392789,0.323285558429173,2,1,0,9
"16767","Q10",32,18,"Crepis acuminata","N","N",0.691830480647407,0.249331894297797,3,0,0,3
"16768","Q10",32,19,"Crepis acuminata","N","N",0.656458824364464,0.276606417760699,1,1,0,11
"16770","Q10",32,21,"Crepis acuminata","N","N",0.619744754017771,0.80111960574919,2,1,0,7
"16774","Q10",32,25,"Crepis acuminata","N","N",0.449924925734615,0.652401652485685,3,1,1,1
"16775","Q10",32,26,"Crepis acuminata","N","N",0.997665777807238,0.183728136424199,3,0,0,4
"16776","Q10",32,27,"Crepis acuminata","N","N",0.957828785582636,0.225097323962728,2,0,0,8
"16779","Q10",32,30,"Crepis acuminata","N","N",0.099930525948735,0.445033118736124,3,1,0,5
"16781","Q10",33,1,"Crepis acuminata","N","N",0.303491050598237,0.895432035524524,1,1,0,12
