A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,F8
32,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,NA,NA,32,32,NA,NA,NA,NA,32,32,NA,NA,NA,32,32,NA,NA,NA,NA,NA,32,32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,33,33,33,33,33,33,NA,NA,33,33,33,33,33,NA,33,33,33,33,NA,NA,33,33,33,33,NA,33,33,33,33,33,NA,NA,33,33,33,33,33,33,NA,NA
34,NA,NA,NA,34,34,NA,34,NA,34,NA,NA,34,34,34,34,34,34,34,34,34,34,34,NA,34,34,34,34,34,34,34,34,34,34,34,NA,34,34,34,34,34,34,NA,NA
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,38,38,38,38,38,38,38,38,38,38,38,NA,NA,NA,NA,NA,NA,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,NA,38,38
39,39,39,39,39,39,39,39,NA,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,NA,39,39
40,40,40,40,40,40,40,40,NA,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,NA,40,40
41,41,41,41,41,41,41,41,NA,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,NA,41,41
42,42,42,42,42,42,42,42,NA,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,NA,42,42
43,43,43,43,43,43,43,43,NA,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,NA,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,NA,43,43
44,44,44,44,44,44,44,44,NA,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,NA,44,44
45,45,45,45,45,45,45,45,NA,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,NA,45,45
