"time","cover","species","climsim"
500,0.0029897925009582,"HECO","ppt"
501,0.0353277858512863,"HECO","ppt"
502,0.00324228126660979,"HECO","ppt"
503,0.00692411543720587,"HECO","ppt"
504,0.00201718706221218,"HECO","ppt"
505,0.00559656763851349,"HECO","ppt"
506,0.00413584755261841,"HECO","ppt"
507,0.00536614038398348,"HECO","ppt"
508,0.0490395468697785,"HECO","ppt"
509,0.0721576309275372,"HECO","ppt"
510,0.0697259921588229,"HECO","ppt"
511,0.0462967850093452,"HECO","ppt"
512,0.038490043415061,"HECO","ppt"
513,0.00514996430354355,"HECO","ppt"
514,0.00168948065945986,"HECO","ppt"
515,0.000783703421900393,"HECO","ppt"
516,0.0014798747890126,"HECO","ppt"
517,0.00301608258321222,"HECO","ppt"
518,0.0032250647736906,"HECO","ppt"
519,0.00529422080316457,"HECO","ppt"
520,0.0298243978598861,"HECO","ppt"
521,0.0361583996827795,"HECO","ppt"
522,0.0192670732993374,"HECO","ppt"
523,0.0131179054675569,"HECO","ppt"
524,0.0116019589104497,"HECO","ppt"
525,0.0677268845234515,"HECO","ppt"
526,0.103876572492216,"HECO","ppt"
527,0.0694865074865121,"HECO","ppt"
528,0.0855426557243783,"HECO","ppt"
529,0.055772642390074,"HECO","ppt"
530,0.0279525714671198,"HECO","ppt"
531,0.00305865598228837,"HECO","ppt"
532,0.054216456242802,"HECO","ppt"
533,0.102019163682591,"HECO","ppt"
534,0.0712642239258868,"HECO","ppt"
535,0.0612349675971031,"HECO","ppt"
536,0.120190247297576,"HECO","ppt"
537,0.0799072216652454,"HECO","ppt"
538,0.00913459874727661,"HECO","ppt"
539,0.0737345882038741,"HECO","ppt"
540,0.0363025531297747,"HECO","ppt"
541,0.00382139251060149,"HECO","ppt"
542,0.00160579372311615,"HECO","ppt"
543,0.00347191045769071,"HECO","ppt"
544,0.00405755513619185,"HECO","ppt"
545,0.00879617007529472,"HECO","ppt"
546,0.00831858887281895,"HECO","ppt"
547,0.0346137837173588,"HECO","ppt"
548,0.0812848886347337,"HECO","ppt"
549,0.0525732325751369,"HECO","ppt"
550,0.0200899565355616,"HECO","ppt"
551,0.0254605860711645,"HECO","ppt"
552,0.0185113198954906,"HECO","ppt"
553,0.0150718357688858,"HECO","ppt"
554,0.0150788189656009,"HECO","ppt"
555,0.0153148621836223,"HECO","ppt"
556,0.00941343976434223,"HECO","ppt"
557,0.00186996451478868,"HECO","ppt"
558,0.0430165732156873,"HECO","ppt"
559,0.0202436270633542,"HECO","ppt"
560,0.0281383435232216,"HECO","ppt"
561,0.0338200045848131,"HECO","ppt"
562,0.0180480038787399,"HECO","ppt"
563,0.0241489031143201,"HECO","ppt"
564,0.105561773806477,"HECO","ppt"
565,0.0466249873537904,"HECO","ppt"
566,0.047235599327347,"HECO","ppt"
567,0.0202988580044131,"HECO","ppt"
568,0.108883899256531,"HECO","ppt"
569,0.0487767935555362,"HECO","ppt"
570,0.132516053699192,"HECO","ppt"
571,0.0839684343313308,"HECO","ppt"
572,0.0645713762882637,"HECO","ppt"
573,0.0269841358363583,"HECO","ppt"
574,0.0207920460287071,"HECO","ppt"
575,0.0121441179662114,"HECO","ppt"
576,0.0207510177281693,"HECO","ppt"
577,0.0254387038910428,"HECO","ppt"
578,0.0129795208376993,"HECO","ppt"
579,0.0119662555179744,"HECO","ppt"
580,0.0837547779731386,"HECO","ppt"
581,0.010128603924894,"HECO","ppt"
582,0.0919316054015099,"HECO","ppt"
583,0.0434464888636034,"HECO","ppt"
584,0.0272310530298208,"HECO","ppt"
585,0.0819976315868593,"HECO","ppt"
586,0.0103340193682095,"HECO","ppt"
587,0.0126348329839952,"HECO","ppt"
588,0.0199528437898344,"HECO","ppt"
589,0.106916334634595,"HECO","ppt"
590,0.0487030816609502,"HECO","ppt"
591,0.0492893527026247,"HECO","ppt"
592,0.032500265599085,"HECO","ppt"
593,0.0239162651184318,"HECO","ppt"
594,0.00504340580965231,"HECO","ppt"
595,0.00193727102614701,"HECO","ppt"
596,0.00391292590629044,"HECO","ppt"
597,0.00145378273292917,"HECO","ppt"
598,0.000696463532766455,"HECO","ppt"
599,0.00036423839477023,"HECO","ppt"
600,0.000858729263687401,"HECO","ppt"
601,0.000359260591481574,"HECO","ppt"
602,0.00114291886766397,"HECO","ppt"
603,0.000960423320569824,"HECO","ppt"
604,0.00115917585690163,"HECO","ppt"
605,0.000466988210014115,"HECO","ppt"
606,0.000508930637019235,"HECO","ppt"
607,0.00111900485165586,"HECO","ppt"
608,0.00207218939327555,"HECO","ppt"
609,0.0014212677836341,"HECO","ppt"
610,0.00251446511690945,"HECO","ppt"
611,0.000763428287522225,"HECO","ppt"
612,0.00127095089627376,"HECO","ppt"
613,0.00214882973847624,"HECO","ppt"
614,0.00323786517555659,"HECO","ppt"
615,0.0293704871592319,"HECO","ppt"
616,0.0235387487580182,"HECO","ppt"
617,0.0440974535283278,"HECO","ppt"
618,0.0243082736596141,"HECO","ppt"
619,0.0116457237019598,"HECO","ppt"
620,0.0714207640128067,"HECO","ppt"
621,0.027109174752747,"HECO","ppt"
622,0.0771005872428002,"HECO","ppt"
623,0.0602719599311577,"HECO","ppt"
624,0.0342471937314828,"HECO","ppt"
625,0.0235969437036759,"HECO","ppt"
626,0.0129400646840787,"HECO","ppt"
627,0.00337219951483573,"HECO","ppt"
628,0.0454085093898355,"HECO","ppt"
629,0.0195338222989781,"HECO","ppt"
630,0.0178844983546314,"HECO","ppt"
631,0.0171441604429943,"HECO","ppt"
632,0.0168868315974546,"HECO","ppt"
633,0.0026836251499012,"HECO","ppt"
634,0.0258155481200305,"HECO","ppt"
635,0.0310347023437763,"HECO","ppt"
636,0.0364692605872788,"HECO","ppt"
637,0.0235884171886484,"HECO","ppt"
638,0.114960064219517,"HECO","ppt"
639,0.152958338080295,"HECO","ppt"
640,0.0949738030555929,"HECO","ppt"
641,0.050402786592895,"HECO","ppt"
642,0.0219289101709476,"HECO","ppt"
643,0.0190936933559065,"HECO","ppt"
644,0.108104056985029,"HECO","ppt"
645,0.012419708692163,"HECO","ppt"
646,0.0142393887367684,"HECO","ppt"
647,0.0218335474439245,"HECO","ppt"
648,0.0722799418066364,"HECO","ppt"
649,0.0273756370931315,"HECO","ppt"
650,0.0825864990282702,"HECO","ppt"
651,0.0103891187037739,"HECO","ppt"
652,0.0173509744359561,"HECO","ppt"
653,0.0969420116272327,"HECO","ppt"
654,0.0704972304356131,"HECO","ppt"
655,0.111146560917462,"HECO","ppt"
656,0.107566187463156,"HECO","ppt"
657,0.0115613011823478,"HECO","ppt"
658,0.0173353897790461,"HECO","ppt"
659,0.0113093840326529,"HECO","ppt"
660,0.0738010213317967,"HECO","ppt"
661,0.0600009608853984,"HECO","ppt"
662,0.0324853350638294,"HECO","ppt"
663,0.0037159816928743,"HECO","ppt"
664,0.00581698066718278,"HECO","ppt"
665,0.065285441039879,"HECO","ppt"
666,0.116564536884463,"HECO","ppt"
667,0.0129236768780915,"HECO","ppt"
668,0.0133098928584539,"HECO","ppt"
669,0.0035197579005606,"HECO","ppt"
670,0.0476118583464773,"HECO","ppt"
671,0.0962680309720489,"HECO","ppt"
672,0.0112072890384079,"HECO","ppt"
673,0.0101227913394662,"HECO","ppt"
674,0.0829333687997367,"HECO","ppt"
675,0.0455486519300767,"HECO","ppt"
676,0.00452581698154758,"HECO","ppt"
677,0.00415332606865409,"HECO","ppt"
678,0.00648528727033916,"HECO","ppt"
679,0.0607480146523144,"HECO","ppt"
680,0.0837136011234965,"HECO","ppt"
681,0.0365719649746939,"HECO","ppt"
682,0.0846700629916525,"HECO","ppt"
683,0.0279737883531836,"HECO","ppt"
684,0.018938085197576,"HECO","ppt"
685,0.00418831567689845,"HECO","ppt"
686,0.00607307942572479,"HECO","ppt"
687,0.00143120567721161,"HECO","ppt"
688,0.00337332028520273,"HECO","ppt"
689,0.00411729753731181,"HECO","ppt"
690,0.00778495745142437,"HECO","ppt"
691,0.00830419092649501,"HECO","ppt"
692,0.0494657571844631,"HECO","ppt"
693,0.0263526004140372,"HECO","ppt"
694,0.0144491230662073,"HECO","ppt"
695,0.0136023042582929,"HECO","ppt"
696,0.00881307807447857,"HECO","ppt"
697,0.00949131229813852,"HECO","ppt"
698,0.0146342222788528,"HECO","ppt"
699,0.0744419046353835,"HECO","ppt"
700,0.00531808078433762,"HECO","ppt"
701,0.0070800894466871,"HECO","ppt"
702,0.00876031168227437,"HECO","ppt"
703,0.0645896299136816,"HECO","ppt"
704,0.0363610058359444,"HECO","ppt"
705,0.0168163888942637,"HECO","ppt"
706,0.00994888682145688,"HECO","ppt"
707,0.0171307482675774,"HECO","ppt"
708,0.0117103945551585,"HECO","ppt"
709,0.0133889664082939,"HECO","ppt"
710,0.0558469323528435,"HECO","ppt"
711,0.0495102909011939,"HECO","ppt"
712,0.030305657272947,"HECO","ppt"
713,0.0244185178789434,"HECO","ppt"
714,0.00330119559319275,"HECO","ppt"
715,0.00553035703611288,"HECO","ppt"
716,0.00856621996556034,"HECO","ppt"
717,0.00268226249910561,"HECO","ppt"
718,0.00519095616897603,"HECO","ppt"
719,0.00707166571583448,"HECO","ppt"
720,0.00815125175466251,"HECO","ppt"
721,0.0690971415413009,"HECO","ppt"
722,0.0958176097036158,"HECO","ppt"
723,0.032909419422185,"HECO","ppt"
724,0.0834390716247696,"HECO","ppt"
725,0.00603332549039599,"HECO","ppt"
726,0.0090516584729256,"HECO","ppt"
727,0.0152157640271717,"HECO","ppt"
728,0.00358006545564732,"HECO","ppt"
729,0.00498484922511848,"HECO","ppt"
