"","Point est.","Upper C.I."
"beta[1,1]",1.00021669287647,1.00042341201537
"beta[2,1]",1.00001353187911,1.00007363225652
"beta[3,1]",1.00049827541155,1.00170161550938
"beta[4,1]",1.00018568553062,1.00055541839632
"beta[1,2]",1.00021687517257,1.00058063467901
"beta[2,2]",1.00003253622139,1.00010058063079
"beta[3,2]",1.00056913869076,1.00205224604886
"beta[4,2]",1.00033078393476,1.00116370404466
"beta[1,3]",1.00042499215383,1.0012628315177
"beta[2,3]",1.00008943218055,1.00029985148924
"beta[3,3]",1.00017985640785,1.00042179962975
"beta[4,3]",1.00027341243798,1.00103218147727
"beta[1,4]",1.00020059706575,1.00075298603999
"beta[2,4]",1.00007266241692,1.00027751446723
"beta[3,4]",1.00035570463287,1.00111101546938
"beta[4,4]",1.00016792514574,1.00062496329871
"beta[1,5]",1.00123315331335,1.00454596493064
"beta[2,5]",1.00009773051276,1.00023715523666
"beta[3,5]",1.00030351843608,1.00109850405115
"beta[4,5]",1.00024643420051,1.00092283209173
"beta[1,6]",1.00010762746642,1.00042166005895
"beta[2,6]",1.00003256962317,1.00008331100865
"beta[3,6]",1.00010510215387,1.00027171348683
"beta[4,6]",1.00017028185264,1.00036074590154
"beta[1,7]",1.00004505070061,1.00016303021676
"beta[2,7]",1.00001091839434,1.00004219139182
"beta[3,7]",1.00019878111652,1.00050691026832
"beta[4,7]",1.00014051719196,1.00043782180012
"beta[1,8]",1.0001437439279,1.00042018924787
"beta[2,8]",1.00010172051289,1.00021893748427
"beta[3,8]",1.00070148503775,1.00235981702302
"beta[4,8]",1.00027657841078,1.00086352548888
"beta[1,9]",1.00009997655588,1.0003822271239
"beta[2,9]",1.00011656740276,1.0004320759148
"beta[3,9]",1.00014826412434,1.00048029925027
"beta[4,9]",1.00008644559579,1.0003121638564
"beta[1,10]",0.999995550173766,1.00000498828254
"beta[2,10]",1.00017842559424,1.00056672940657
"beta[3,10]",1.00014520853596,1.0005171187082
"beta[4,10]",1.00012226583035,1.00041526134527
"beta[1,11]",1.00004102517006,1.0001751854842
"beta[2,11]",1.00019274232829,1.00032011365211
"beta[3,11]",1.00015315635127,1.00031599926328
"beta[4,11]",1.00014748997264,1.00033875578379
"beta[1,12]",1.00001563937814,1.00003948518021
"beta[2,12]",1.00016310527217,1.00049679904553
"beta[3,12]",1.00050445554598,1.00161129355456
"beta[4,12]",1.00017481256056,1.00064861673174
"beta[1,13]",1.00004259717017,1.00008987124449
"beta[2,13]",1.00028667717175,1.00101174841077
"beta[3,13]",1.00021461326305,1.0006279149918
"beta[4,13]",1.00067038542766,1.00244478982281
"intG[1,1]",1.00348052193563,1.01044915470265
"intG[2,1]",1.00032378987171,1.00088001565069
"intG[3,1]",1.00141915326788,1.00376642923955
"intG[4,1]",1.00129493760135,1.00367446381191
"intG[1,2]",1.00278596006804,1.0087978162913
"intG[2,2]",1.00008014152462,1.00021825321355
"intG[3,2]",1.00109743109846,1.00322285094637
"intG[4,2]",1.0004576807665,1.00147268524974
"intG[1,3]",1.00341105195244,1.0106807438965
"intG[2,3]",1.00031119483648,1.00084992067624
"intG[3,3]",1.00128370579409,1.00333523979518
"intG[4,3]",1.00126059329946,1.0042512131976
"intG[1,4]",1.00316412273101,1.0093605734393
"intG[2,4]",1.00030713520916,1.00101988116863
"intG[3,4]",1.00111933472534,1.0028877858077
"intG[4,4]",1.00062763562407,1.00192145294625
"intG[1,5]",1.00236485901755,1.00785650383532
"intG[2,5]",1.00017440131864,1.00045748029395
"intG[3,5]",1.00128145094714,1.00332149269909
"intG[4,5]",1.00107185297107,1.00298110951239
"intG[1,6]",1.00314606209005,1.00942872876307
"intG[2,6]",1.00008808876588,1.0001645507983
"intG[3,6]",1.00115127488474,1.00318809293137
"intG[4,6]",1.00110340548773,1.00344041419187
"intYr[1,1]",1.00076344258083,1.00262547167466
"intYr[2,1]",1.00035639036936,1.00081283240521
"intYr[3,1]",1.00133493299895,1.00286272134472
"intYr[4,1]",1.00005666300786,1.0002232583926
"intYr[1,2]",1.00050952118563,1.0018543446208
"intYr[2,2]",1.00057304634349,1.00196360025347
"intYr[3,2]",1.00095588701167,1.00260297799266
"intYr[4,2]",1.00071742164003,1.00241747533864
"intYr[1,3]",1.00079201901307,1.002286287875
"intYr[2,3]",1.00011999309334,1.00029032811251
"intYr[3,3]",1.00093701485488,1.00168189049637
"intYr[4,3]",1.00158050360921,1.00496503344573
"intYr[1,4]",1.00163241547843,1.00422615294658
"intYr[2,4]",1.00033795532607,1.00057945495558
"intYr[3,4]",1.00133089768012,1.00351005369296
"intYr[4,4]",1.00128061058648,1.00424819335864
"intYr[1,5]",1.00331238733848,1.01156988271001
"intYr[2,5]",1.00006842057015,1.00020327904605
"intYr[3,5]",1.00182810243045,1.00565555346312
"intYr[4,5]",1.0015669054869,1.00391496326583
"intYr[1,6]",1.00340937053942,1.0115078963494
"intYr[2,6]",1.00002290435474,1.00005787386856
"intYr[3,6]",1.001220618234,1.00295855276076
"intYr[4,6]",1.00249051500595,1.00836601645985
"intYr[1,7]",1.00279490760803,1.00942633446755
"intYr[2,7]",1.00022311271694,1.0007323558605
"intYr[3,7]",1.00185427906201,1.00553173682448
"intYr[4,7]",1.00052575774528,1.00126407458573
"intYr[1,8]",1.0024362031834,1.00799907554831
"intYr[2,8]",1.00033731263473,1.00106482595348
"intYr[3,8]",1.00231873106077,1.00745934201406
"intYr[4,8]",1.00058562746795,1.002148863464
"intYr[1,9]",1.00226248046482,1.00754410014585
"intYr[2,9]",1.0003738470393,1.00102594028346
"intYr[3,9]",1.00196540582997,1.00550531755629
"intYr[4,9]",1.0004173855009,1.00148519404787
"intYr[1,10]",1.0016912592412,1.00533242381113
"intYr[2,10]",1.00019580820945,1.00060356905629
"intYr[3,10]",1.00052057943547,1.00136004703267
"intYr[4,10]",1.00022060903691,1.00081276502915
"intYr[1,11]",1.00188835465968,1.0064915887111
"intYr[2,11]",1.00008273229677,1.00011604824552
"intYr[3,11]",1.00061597149349,1.00167996692136
"intYr[4,11]",1.00025056428153,1.00076818985545
"intYr[1,12]",1.00103746961644,1.00343764988314
"intYr[2,12]",1.00006182802948,1.00019360849461
"intYr[3,12]",1.00095894088364,1.00278499837661
"intYr[4,12]",1.00133729016487,1.0046091654316
"intYr[1,13]",1.00206363048177,1.00750121191294
"intYr[2,13]",1.00026891604124,1.0005966632639
"intYr[3,13]",1.00191351301943,1.00276297952749
"intYr[4,13]",1.0004796521165,1.00139423173783
