"","Point est.","Upper C.I."
"beta[1,1]",1.00216165141765,1.00795199484806
"beta[2,1]",1.00019784840547,1.00054846759191
"beta[3,1]",1.00042899932971,1.00159878626869
"beta[4,1]",1.00018614517558,1.00044083424748
"beta[1,2]",1.00004675399027,1.00014549881248
"beta[2,2]",1.00031181554658,1.00117417352474
"beta[3,2]",1.00050278134507,1.00180498869541
"beta[4,2]",1.0003715855062,1.0011127304253
"beta[1,3]",1.00014180021181,1.00048608083768
"beta[2,3]",1.00045407485627,1.00155098033983
"beta[3,3]",1.00041880881721,1.00109207061448
"beta[4,3]",1.00009572977422,1.00034796980616
"beta[1,4]",1.00030818513318,1.00105129424949
"beta[2,4]",1.00028629306495,1.00105178766514
"beta[3,4]",1.00034842626478,1.00110678218368
"beta[4,4]",1.00056525054407,1.00205541667414
"beta[1,5]",1.00025030748374,1.00078083405019
"beta[2,5]",1.00015523300188,1.0004419494919
"beta[3,5]",1.00017316047431,1.00059571296999
"beta[4,5]",1.00003240102259,1.00005812107929
"beta[1,6]",1.00001690945321,1.00002831799623
"beta[2,6]",1.00003075737658,1.00004848190029
"beta[3,6]",1.00021666289916,1.00081376348496
"beta[4,6]",1.00016691775619,1.00054346942358
"beta[1,7]",1.00023337411102,1.00088637692247
"beta[2,7]",1.00004932389841,1.00008594772189
"beta[3,7]",1.00026299602203,1.00087474255213
"beta[4,7]",1.00019176747129,1.00069249361963
"beta[1,8]",1.00022265409806,1.00080650605781
"beta[2,8]",1.00025799877418,1.0009635764175
"beta[3,8]",1.00038183068176,1.00138878948758
"beta[4,8]",1.00006176114952,1.0002134900463
"beta[1,9]",1.00030617801609,1.00081662773604
"beta[2,9]",1.00046133237078,1.00131429599545
"beta[3,9]",1.00037070215562,1.00130947338049
"beta[4,9]",1.00006852650245,1.00020286423746
"beta[1,10]",1.00016278073314,1.00020893425908
"beta[2,10]",1.00033476740684,1.0011846374706
"beta[3,10]",1.00041741691408,1.00148411382081
"beta[4,10]",1.00005823588922,1.00024115364962
"beta[1,11]",1.00017297750837,1.00042080538537
"beta[2,11]",1.00019501389505,1.00066959800851
"beta[3,11]",1.00034821486883,1.0012993792301
"beta[4,11]",1.00039424716572,1.0009571746856
"beta[1,12]",1.0001704825935,1.00045845967548
"beta[2,12]",1.00011377705446,1.00035370638941
"beta[3,12]",1.00023156619884,1.00087994246493
"beta[4,12]",1.00016795171291,1.00052558429173
"beta[1,13]",1.00045153755781,1.00161789098738
"beta[2,13]",1.00020096234402,1.00074485966105
"beta[3,13]",1.00121311275814,1.00373962843814
"beta[4,13]",1.00006956750466,1.00024026481693
"betaSpp[1]",1.00001676643829,1.00006608916476
"betaSpp[2]",1.00027043574658,1.00098760767035
"betaSpp[3]",1.00091921286258,1.00329704306257
